nr render views, mode, nr vertices, storage, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35
1, 2, 148402, 0, 97.332, 40.065, 87.3558, 64.0303, 77.2264, 91.0034, 95.7441, 55.9806, 69.6106, 83.2173, 53.5946, 71.3873, 107.692, 39.7314, 85.9608, 64.4261, 78.1467, 90.615, 94.891, 55.8187, 66.851, 83.0368, 53.5414, 71.1116, 108.343, 40.0271, 86.4384, 65.3147, 76.3711, 91.1624, 94.1331, 55.4517, 67.7506, 83.6069, 53.5612, 70.8493
3, 2, 148402, 1, 23.4518, 13.4502, 16.6691, 17.546, 17.143, 22.566, 19.7364, 18.4895, 15.9689, 15.441, 14.7129, 17.1043, 24.5855, 13.4432, 16.5095, 16.4235, 16.8809, 22.5217, 19.7284, 18.2283, 15.806, 15.2275, 15.2241, 17.1764, 24.5059, 13.3892, 16.5673, 17.5073, 16.934, 22.4481, 19.4401, 18.2792, 15.8338, 15.1863, 15.3251, 17.1792
2, 2, 148402, 1, 35.2199, 23.6709, 22.4403, 28.4959, 23.3173, 35.5017, 27.6759, 29.6846, 27.3017, 24.7013, 22.5101, 25.9064, 35.9404, 23.8189, 22.9199, 28.8439, 23.3978, 35.0072, 27.6664, 29.6799, 26.5426, 24.4752, 22.4538, 26.9645, 37.1637, 25.2035, 23.902, 30.343, 24.5794, 37.2551, 29.4642, 30.7952, 27.8887, 25.5914, 23.435, 26.8034
1, 2, 148402, 1, 95.6185, 40.009, 87.6389, 66.6888, 77.8542, 92.9666, 97.6774, 57.4027, 69.2507, 84.7651, 54.9271, 72.6678, 112.185, 40.5608, 88.491, 66.1374, 79.5366, 92.6854, 97.2041, 56.6691, 70.7799, 84.3398, 54.7811, 72.4792, 111.311, 40.3061, 88.2655, 65.6469, 77.9098, 92.4854, 98.2339, 57.4984, 69.8238, 86.9335, 55.0277, 73.4375
3, 3, 148402, 0, 49.8349, 56.9202, 56.6541, 56.5771, 56.6343, 56.5819, 56.6308, 56.6841, 56.767, 56.4515, 56.6117, 56.4799, 56.7607, 56.3604, 56.2929, 56.2376, 56.6331, 56.4423, 56.4492, 56.5687, 56.4306, 56.3674, 56.6137, 55.9065, 56.2894, 56.2238, 56.1575, 56.3367, 56.1205, 56.196, 56.1093, 56.2933, 56.4856, 56.0331, 56.1873, 56.0876
2, 3, 148402, 0, 69.4558, 82.6781, 81.8821, 81.637, 81.5517, 81.5631, 81.6768, 81.9131, 82.0906, 81.922, 81.8827, 81.2462, 81.6406, 82.1444, 81.6755, 81.7507, 81.8408, 81.5033, 81.2761, 81.8658, 82.0006, 81.2987, 81.5469, 81.2018, 81.805, 81.7071, 81.8795, 81.669, 82.0548, 81.3686, 81.6878, 81.5854, 81.8943, 81.3608, 81.7822, 81.3204
1, 3, 148402, 0, 104.335, 153.315, 151.455, 151.736, 151.616, 152.514, 151.361, 151.596, 153.349, 150.42, 150.565, 151.907, 150.734, 150.777, 154.808, 150.894, 151.738, 149.648, 151.518, 151.801, 150.136, 148.312, 151.944, 149.563, 149.583, 154.285, 150.747, 152.036, 150.919, 150.146, 150.217, 151.166, 150.81, 151.607, 151.6, 152.091
3, 3, 148402, 1, 49.5647, 56.8681, 57.095, 56.6541, 57.031, 56.7976, 56.8244, 56.837, 56.7593, 56.7363, 56.9339, 56.7819, 56.9822, 57.0764, 56.7684, 56.8367, 56.9102, 56.489, 56.6319, 56.5563, 56.7866, 56.6472, 56.9004, 56.4805, 56.6522, 56.5886, 56.8584, 56.676, 56.8199, 56.8373, 56.3111, 56.6835, 56.5297, 56.3886, 56.4188, 56.6809
2, 3, 148402, 1, 64.7472, 82.7191, 82.2377, 82.5587, 82.7021, 82.2049, 82.1547, 82.325, 82.0722, 81.876, 82.2563, 82.062, 82.3814, 82.2784, 82.5346, 81.935, 82.7339, 82.1535, 82.25, 82.3285, 82.2043, 82.0633, 81.9853, 81.5924, 82.262, 82.2058, 82.2424, 82.2124, 82.6806, 82.0696, 81.6856, 82.1917, 81.9738, 81.7246, 81.9041, 82.4312
1, 3, 148402, 1, 112.777, 154.868, 153.499, 154.877, 154.41, 154.768, 153.75, 152.899, 154.413, 152.718, 154.953, 157.65, 154.292, 155.56, 152.809, 154.362, 156.404, 155.814, 154.945, 156.729, 153.537, 153.436, 154.96, 154.203, 156.866, 154.406, 154.954, 154.091, 156.723, 154.522, 154.235, 154.324, 154.373, 154.683, 154.448, 153.874
3, 4, 148402, 0, 106.261, 141.693, 141.115, 142.793, 142.722, 143.282, 142.26, 140.647, 140.087, 142.626, 142.484, 140.889, 139.43, 139.708, 140.762, 141.153, 140.252, 138.619, 139.9, 140.33, 139.974, 139.314, 139.989, 141.178, 140.658, 140.134, 139.915, 140.787, 140.36, 141.339, 139.353, 139.82, 139.758, 139.081, 140.18, 141.137
2, 4, 148402, 0, 87.1217, 142.526, 143.735, 143.205, 144.3, 143.576, 143.017, 142.3, 143.021, 144.953, 144.507, 142.001, 143.42, 142.513, 144.011, 143.623, 143.414, 143.684, 143.031, 143.231, 143.056, 146.021, 142.762, 142.577, 143.788, 143.7, 143.105, 143.759, 142.551, 142.817, 145.105, 143.114, 145.472, 144.384, 143.598, 142.359
1, 4, 148402, 0, 85.3278, 144.214, 146.524, 144.916, 144.663, 144.374, 144.604, 145.859, 144.427, 145.656, 145.999, 146.386, 144.578, 144.049, 144.086, 144.676, 143.956, 144.111, 145.732, 145.155, 146.882, 144.442, 145.649, 144.049, 145.871, 144.964, 146.172, 146.11, 144.361, 144.437, 144.973, 144.157, 145.097, 144.403, 146.158, 144.751
3, 4, 148402, 1, 108.406, 144.852, 138, 137.087, 145.472, 141.039, 141.132, 143.822, 145.473, 144.292, 143.714, 143.836, 141.436, 138.622, 141.077, 141.961, 141, 138.942, 141.874, 140.193, 142.276, 143.775, 141.032, 142.703, 146.913, 138.809, 141.073, 138.992, 140.381, 145.258, 139.926, 139.281, 144.971, 140.564, 143.023, 141.991
2, 4, 148402, 1, 104.341, 149.215, 145.934, 146.967, 145.522, 146.143, 146.438, 146.446, 145.556, 145.708, 146.395, 145.585, 145.575, 145.916, 145.46, 146.249, 145.69, 146.933, 145.276, 145.739, 145.446, 145.241, 148.3, 144.544, 145.817, 146.468, 145.899, 146.424, 145.929, 145.985, 145.63, 148.623, 145.609, 145.469, 145.513, 146.733
1, 4, 148402, 1, 92.7526, 147.163, 151.754, 153.126, 149.451, 150.292, 151.02, 149.537, 148.836, 149.069, 149.972, 152.157, 150.532, 150.601, 150.194, 149.936, 149.825, 149.981, 150.931, 149.198, 151.379, 149.44, 153.011, 151.473, 150.849, 150.8, 150.979, 150.936, 149.836, 149.638, 149.585, 150.937, 148.766, 150.254, 150.237, 150.049
1, 7, 148402, 0, 68.4479, 89.1389, 89.0638, 89.3823, 88.9175, 88.8928, 88.9374, 89.1831, 89.1476, 89.5107, 89.158, 89.3833, 89.1552, 89.139, 88.6592, 88.5901, 88.8473, 89.4274, 88.7099, 88.8367, 88.7577, 89.3826, 88.7968, 89.208, 89.5192, 88.8219, 89.6723, 89.0968, 89.3873, 88.71, 88.3991, 89.0991, 88.8416, 89.0912, 88.9914, 88.6817
1, 7, 148402, 1, 79.6408, 93.384, 92.7573, 92.97, 93.0606, 88.5102, 88.3451, 87.725, 88.1632, 88.116, 87.5946, 87.6139, 88.4698, 88.1698, 87.6744, 88.3503, 88.9013, 87.7672, 88.7461, 87.9877, 88.2242, 88.042, 87.7935, 88.2389, 88.1713, 88.0878, 88.9285, 88.6228, 88.0437, 88.0748, 88.1637, 88.3372, 87.8547, 87.6671, 87.8161, 88.0662
